route_id,stop_id,stop_name,next_stop,derived_next_stop,derived_stop_name
47C,15,AMBATTUR O.T.,47C,47C,47C-AMBATTUR O.T.
47CX,1,THIAGARAYA NAGAR,PONDY BAZAAR,47CX-PONDY BAZAAR,47CX-THIAGARAYA NAGAR
47CX,2,PONDY BAZAAR,VIDYODAYA,47CX-VIDYODAYA,47CX-PONDY BAZAAR
47CX,3,VIDYODAYA,UTHAMAR GANDHISALAI (CORP.OFF),47CX-UTHAMAR GANDHISALAI (CORP.OFF),47CX-VIDYODAYA
47CX,4,UTHAMAR GANDHISALAI (CORP.OFF),STERLING RD./METROLOG. DEPT.,47CX-STERLING RD./METROLOG. DEPT.,47CX-UTHAMAR GANDHISALAI (CORP.OFF)
47CX,5,STERLING RD./METROLOG. DEPT.,NUNGAMBAKKAM R.S.,47CX-NUNGAMBAKKAM R.S.,47CX-STERLING RD./METROLOG. DEPT.
47CX,6,NUNGAMBAKKAM R.S.,HOTEL ARUN,47CX-HOTEL ARUN,47CX-NUNGAMBAKKAM R.S.
47CX,7,HOTEL ARUN,ANNA NAGAR CIRCLE,47CX-ANNA NAGAR CIRCLE,47CX-HOTEL ARUN
47CX,8,ANNA NAGAR CIRCLE,THIRUMANGALAM,47CX-THIRUMANGALAM,47CX-ANNA NAGAR CIRCLE
47CX,9,THIRUMANGALAM,MOGAIPAIR ROAD JN.,47CX-MOGAIPAIR ROAD JN.,47CX-THIRUMANGALAM
47CX,10,MOGAIPAIR ROAD JN.,AMBATTUR I.E.,47CX-AMBATTUR I.E.,47CX-MOGAIPAIR ROAD JN.
47CX,11,AMBATTUR I.E.,DUNLOP,DUNLOP,47CX-AMBATTUR I.E.
47CX,12,DUNLOP,AYYAPPA NAGAR,47CX-AYYAPPA NAGAR,DUNLOP
47CX,13,AYYAPPA NAGAR,2ND WATER TANK ON SECOND AVE.,47CX-2ND WATER TANK ON SECOND AVE.,47CX-AYYAPPA NAGAR
47CX,14,2ND WATER TANK ON SECOND AVE.,AYAPPAKKAM,47CX-AYAPPAKKAM,47CX-2ND WATER TANK ON SECOND AVE.
47CX,15,AYAPPAKKAM,47CX,47CX,47CX-AYAPPAKKAM
47D,1,THIRUVANMIYUR,ADYAR DEPOT,47D-ADYAR DEPOT,47D-THIRUVANMIYUR
47D,2,ADYAR DEPOT,ADYAR B.S.,47D-ADYAR B.S.,47D-ADYAR DEPOT
47D,3,ADYAR B.S.,ENG.COLLEGE,47D-ENG.COLLEGE,47D-ADYAR B.S.
47D,4,ENG.COLLEGE,CONCORDE,47D-CONCORDE,47D-ENG.COLLEGE
47D,5,CONCORDE,SAIDAPET,47D-SAIDAPET,47D-CONCORDE
47D,6,SAIDAPET,THIAGARAYA NAGAR,47D-THIAGARAYA NAGAR,47D-SAIDAPET
47D,7,THIAGARAYA NAGAR,VIVEK & CO (KRISHNAN KOIL),47D-VIVEK & CO (KRISHNAN KOIL),47D-THIAGARAYA NAGAR
47D,8,VIVEK & CO (KRISHNAN KOIL),VIDYODAYA,47D-VIDYODAYA,47D-VIVEK & CO (KRISHNAN KOIL)
47D,9,VIDYODAYA,STERLING RD./METROLOG. DEPT.,47D-STERLING RD./METROLOG. DEPT.,47D-VIDYODAYA
47D,10,STERLING RD./METROLOG. DEPT.,NUNGAMBAKKAM R.S.,47D-NUNGAMBAKKAM R.S.,47D-STERLING RD./METROLOG. DEPT.
